Team,Conf,MedW,MedL,Tourn%,A%,C%,ALWYNI%,F-C%,SF-C%,QF-C%,Top4%,Top8%,Top16%,Med-NPI,Min,Max,Rank
Albertus Magnus,GNAC,17.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,54.0,53.9,54.0,117
Coast Guard,NEWMAC,16.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,53.8,53.7,53.9,166
SUNY New Paltz,SUNYAC,16.5,10.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.7,53.4,54.7,92
Luther,ARC,18.0,9.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.6,53.5,55.1,103
St. Joseph CT,GNAC,17.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,53.5,53.4,53.6,357
S Maine,LEC,17.0,10.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.5,53.4,54.9,109
Oswego St.,SUNYAC,17.5,10.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.5,53.2,54.1,107
Centre,SAA,20.0,8.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.4,53.0,54.1,96
Berry,SAA,18.0,8.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,53.4,53.4,53.5,140
Elmhurst,CCIW,16.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,53.4,53.4,53.5,192
Marietta,OAC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,53.4,53.3,53.6,263
Allegheny,PAC,18.0,7.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,53.4,53.4,53.5,122
Arcadia,MACF,18.0,9.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.4,53.0,53.4,128
St. Thomas TX,SCAC,14.5,8.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,53.4,53.0,53.7,365
Calvin,MIAA,16.0,11.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.4,53.3,54.0,152
Salve Regina,NEWMAC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,53.2,52.6,53.3,348
Ursinus,CC,15.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,53.2,53.2,53.3,385
Skidmore,LL,15.5,12.0,30.0%,30.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.2,52.8,54.6,77
York PA,MACC,16.0,10.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.1,53.0,53.7,417
La Roche,AMCC,18.0,6.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.1,52.4,54.2,86
Lawrence,MWC,18.5,8.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.1,52.8,53.4,247
Trinity (Texas),SCAC,13.5,12.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.1,52.7,55.1,112
U New England,CNE,15.0,12.0,10.0%,10.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,53.0,52.9,54.6,113
Wittenberg,NCAC,16.5,10.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,53.0,52.5,53.5,411
Hunter,CUNYAC,20.5,5.5,50.0%,50.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,53.0,52.4,53.5,56
Rowan,NJAC,17.0,9.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.9,52.9,53.0,342
Stevens,MACF,17.0,9.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,52.9,52.8,53.4,367
Piedmont,CCS,18.0,8.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,52.9,52.7,54.0,89
Guilford,ODAC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.8,52.6,52.8,213
Simpson (Iowa),ARC,14.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.7,52.6,52.8,351
St. Lawrence,LL,16.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.6,52.5,52.7,360
Framingham St.,MASCAC,14.0,10.0,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,52.6,52.0,53.7,84
Susquehanna,LAND,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.5,52.4,52.6,376
Denison,NCAC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.5,52.4,52.6,181
Otterbein,OAC,13.0,14.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,52.4,52.4,52.5,311
Rochester Tech,LL,15.0,12.0,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,52.4,52.3,53.7,108
Redlands,SCIAC,14.0,13.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,52.3,51.8,52.8,332
St. Catherine,MIAC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,52.3,52.2,52.4,355
Muhlenberg,CC,15.0,10.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,52.3,52.2,52.3,289
MIT,NEWMAC,11.0,15.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,52.2,52.1,52.9,277
Westfield St.,MASCAC,16.0,10.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,52.2,52.2,52.7,397
Franklin,HCAC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.1,52.0,52.2,205
Grinnell,MWC,17.5,8.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,52.0,51.7,52.4,212
Berea,HCAC,14.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,52.0,51.9,52.1,139
Knox,MWC,15.0,11.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,51.9,51.9,52.0,241
St. Mary's MN,MIAC,13.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.9,51.8,52.0,362
Mt. St. Mary,SKY,18.0,10.0,60.0%,60.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.9,50.3,52.1,50
Oberlin,NCAC,14.0,12.0,0.0%,0.0%,0.0%,0.0%,-,-,0.0%,0.0%,0.0%,0.0%,51.9,51.8,51.9,306
PSU-Harrisburg,UEC,18.0,9.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,51.9,51.7,51.9,326
Farmingdale,SKY,19.0,9.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,51.8,51.3,52.3,198
Brevard,USAC,16.0,6.0,20.0%,20.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,51.8,51.8,53.5,80
UW-Eau Claire,WIAC,8.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,51.8,51.8,51.9,402
Asbury,CCS,18.0,9.0,40.0%,40.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.8,51.3,52.7,62
Pomona-Pitzer,SCIAC,14.0,13.0,0.0%,0.0%,0.0%,0.0%,-,0.0%,-,0.0%,0.0%,0.0%,51.7,51.6,52.2,321
Manhattanville,SKY,19.0,8.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,51.6,51.3,52.3,260
Drew,LAND,14.0,12.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.6,51.5,52.5,185
UW-Platteville,WIAC,8.0,17.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,51.6,51.5,51.7,403
CT College,NESCAC,10.0,14.0,0.0%,0.0%,0.0%,0.0%,-,-,-,0.0%,0.0%,0.0%,51.6,51.5,51.6,176
Neumann,AEC,14.5,10.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,0.0%,0.0%,51.5,51.3,51.8,297
