Origin_School,Destination_School,Distance
Bates,Principia,1327
S Virginia,McMurry,1327
McMurry,Washington & Lee,1326
Washington & Lee,McMurry,1326
Brockport St.,East Texas Baptist,1324
East Texas Baptist,Brockport St.,1324
Principia,Bowdoin,1323
Bowdoin,Principia,1323
Christopher Newport,UW-Superior,1323
UW-Superior,Christopher Newport,1323
Amherst,Bethel,1322
Bethel,Amherst,1322
Bethel,Smith,1316
Smith,Bethel,1316
UW-Oshkosh,TX Lutheran,1316
TX Lutheran,UW-Oshkosh,1316
Geneseo St.,East Texas Baptist,1315
Ohio Wesleyan,TX Lutheran,1315
Wartburg,Endicott,1315
East Texas Baptist,Geneseo St.,1315
TX Lutheran,Ohio Wesleyan,1315
TX Lutheran,Trine,1315
Trine,TX Lutheran,1315
Bethel,W New England,1314
W New England,Bethel,1313
Endicott,Wartburg,1313
Ripon,TX Lutheran,1307
TX Lutheran,Ripon,1307
Bridgewater MA,Wartburg,1306
Wartburg,Bridgewater MA,1306
McMurry,Cal Lutheran,1302
Cal Lutheran,McMurry,1302
St. Joseph CT,Bethel,1300
Bethel,Trinity (Conn),1300
Bethel,St. Joseph CT,1300
Christopher Newport,Gustavus Adolphus,1300
Gustavus Adolphus,Christopher Newport,1300
Trinity (Conn),Bethel,1300
Elizabethtown,East Texas Baptist,1299
East Texas Baptist,Elizabethtown,1299
Tufts,Wartburg,1296
Wartburg,Tufts,1296
UW-La Crosse,MA Dartmouth,1293
MA Dartmouth,UW-La Crosse,1293
Bates,UW-Oshkosh,1291
UW-Oshkosh,Bates,1291
MA Dartmouth,UW-Stout,1290
UW-Stout,MA Dartmouth,1290
UW-La Crosse,Endicott,1288
Endicott,UW-La Crosse,1288
Bates,Ripon,1287
Ripon,Bates,1287
Bowdoin,UW-Oshkosh,1286
UW-Oshkosh,Bowdoin,1286
Bowdoin,Ripon,1283
Ripon,Bowdoin,1283
Immaculata,East Texas Baptist,1282
East Texas Baptist,Immaculata,1282
UW-La Crosse,Bridgewater MA,1279
Bridgewater MA,UW-La Crosse,1279
Vassar,UW-Superior,1279
UW-Superior,Vassar,1279
Carnegie Mellon,Ripon,1273
Ripon,Carnegie Mellon,1273
Merchant Marine,UW-Superior,1273
UW-Superior,Merchant Marine,1273
Johns Hopkins,East Texas Baptist,1271
East Texas Baptist,Johns Hopkins,1271
UW-La Crosse,Tufts,1270
Bethel,Christopher Newport,1270
Tufts,UW-La Crosse,1270
Christopher Newport,Bethel,1269
UW-Stevens Point,Endicott,1269
Endicott,UW-Stevens Point,1269
Messiah,East Texas Baptist,1268
East Texas Baptist,Messiah,1268
Brooklyn Col,UW-Superior,1262
Bridgewater MA,UW-Stevens Point,1261
UW-Stevens Point,Bridgewater MA,1261
UW-Superior,Brooklyn Col,1261
UW-Superior,Mt. St. Mary,1261
Mt. St. Mary,UW-Superior,1260
Bates,UW-Superior,1259
Bridgewater MA,S Virginia,1259
UW-Superior,Bates,1259
S Virginia,Bridgewater MA,1259
Gustavus Adolphus,Vassar,1257
Vassar,Gustavus Adolphus,1257
Amherst,UW-Stout,1255
UW-Stout,Amherst,1255
Colorado Col,Ohio Wesleyan,1254
Gustavus Adolphus,Merchant Marine,1254
Ohio Wesleyan,Colorado Col,1254
Merchant Marine,Gustavus Adolphus,1254
TX Lutheran,Wisconsin Lutheran,1254
Wisconsin Lutheran,TX Lutheran,1254
NYU,UW-Superior,1253
UW-Superior,NYU,1253
Stevens,UW-Superior,1251
Tufts,UW-Stevens Point,1251
UW-Stevens Point,Tufts,1251
UW-Superior,Stevens,1251
UW-Superior,SUNY Cobleskill,1251
SUNY Cobleskill,UW-Superior,1251
Gettysburg,East Texas Baptist,1250
East Texas Baptist,Gettysburg,1250
Smith,UW-Stout,1249
UW-Stout,Smith,1249
UW-Stout,TX Lutheran,1249
TX Lutheran,UW-Stout,1249
W New England,UW-Stout,1247
Calvin,McMurry,1246
UW-Stout,W New England,1246
McMurry,Calvin,1245
Randolph-Macon,UW-Superior,1245
UW-Superior,Randolph-Macon,1245
Catholic,East Texas Baptist,1244
East Texas Baptist,Catholic,1244
Calvin,Colorado Col,1242
