Massey_id,Massey_Name,Scott_Name
323, Scranton,Scranton
324, Sewanee,Sewanee
325, Shenandoah,Shenandoah
326, Simpson_IA,Simpson (Iowa)
327, Skidmore,Skidmore
328, Smith,Smith
329, Spalding,Spalding
330, Springfield,Springfield
331, St_Benedict,St. Benedict
332, St_Catherine,St. Catherine
333, St_Elizabeth,St. Elizabeth
334, St_John_Fisher,St. John Fisher
335, St_Joseph_CT,St. Joseph CT
336, St_Joseph's_LI,St. Joseph's LI
337, St_Joseph's_ME,St. Joseph's ME
338, St_Joseph's_NY,St. Joseph's NY
339, St_Lawrence,St. Lawrence
340, St_Mary's_IN,St. Mary's IN
341, St_Mary's_MD,St. Mary's MD
342, St_Mary's_MN,St. Mary's MN
343, St_Norbert,St. Norbert
344, St_Olaf,St. Olaf
345, St_Scholastica,St. Scholastica
346, St_Thomas_TX,St. Thomas TX
347, St_Vincent,St. Vincent
348, Stevens,Stevens
349, Stevenson,Stevenson
350, Suffolk,Suffolk
351, Sul_Ross,Sul Ross
352, Summit,Summit
353, SUNY_Canton,SUNY Canton
354, SUNY_Cobleskill,SUNY Cobleskill
355, SUNY_Delhi,SUNY Delhi
356, SUNY_Fredonia,SUNY Fredonia
357, SUNY_New_Paltz,SUNY New Paltz
358, SUNY_Oneonta,SUNY Oneonta
360, SUNY_Potsdam,SUNY Potsdam
359, SUNY_Poly,SUNYIT
361, Susquehanna,Susquehanna
362, SW_Univ_TX,SW Univ TX
363, Swarthmore,Swarthmore
364, Thiel,Thiel
365, Thomas_ME,Thomas ME
366, Transylvania,Transylvania
367, Trine,Trine
368, Trinity_CT,Trinity (Conn)
369, Trinity_DC,Trinity DC
370, Trinity_TX,Trinity (Texas)
371, Tufts,Tufts
372, TX_Lutheran,TX Lutheran
373, U_New_England,U New England
374, UC_Santa_Cruz,UC Santa Cruz
375, Union_NY,Union NY
376, Univ_Ozarks,Univ Ozarks
377, Ursinus,Ursinus
378, UT_Dallas,UT Dallas
379, Utica,Utica
380, VA_Wesleyan,VA Wesleyan
381, Valley_Forge,Valley Forge
382, Vassar,Vassar
383, W_Connecticut,Western Connecticut
384, W_New_England,W New England
385, Warren_Wilson,Warren Wilson
386, Wartburg,Wartburg
387, Wash_&_Jeff,Washington & Jefferson
388, Washington_&_Lee,Washington & Lee
389, Washington_MD,Washington MD
390, Washington_StL,WashU
391, Waynesburg,Waynesburg
392, Webster,Webster
393, Wellesley,Wellesley
394, Wells,Wells
395, Wentworth_Tech,Wentworth Tech
396, Wesleyan_CT,Wesleyan CT
397, Wesleyan_GA,Wesleyan GA
398, Westfield_St,Westfield St.
399, Westminster_MO,Westminster MO
400, Westminster_PA,Westminster PA
401, Wheaton_IL,Wheaton (IL)
402, Wheaton_MA,Wheaton MA
403, Whitman,Whitman
404, Whittier,Whittier
405, Whitworth,Whitworth
406, WI_Eau_Claire,UW-Eau Claire
407, WI_LaCrosse,UW-La Crosse
408, WI_Lutheran,Wisconsin Lutheran
409, WI_Oshkosh,UW-Oshkosh
410, WI_Platteville,UW-Platteville
411, WI_River_Falls,UW-River Falls
412, WI_Stevens_Pt,UW-Stevens Point
413, WI_Stout,UW-Stout
414, WI_Superior,UW-Superior
415, WI_Whitewater,UW-Whitewater
416, Widener,Widener
417, Wilkes,Wilkes
418, Willamette,Willamette
419, Williams,Williams
420, Wilmington_OH,Wilmington OH
421, Wilson,Wilson
422, Wittenberg,Wittenberg
423, Wm_Paterson,Wm Paterson
424, Wooster,Wooster
425, Worcester_St,Worcester St
426, Worcester_Tech,WPI
427, Yeshiva,Yeshiva
428, York_NY,York NY
429, York_PA,York PA
