simulation_number,team_name,wins,losses,npi_rank,got_auto_bid,got_at_large,made_tournament,made_top_4,made_top_8,made_top_16
7,Emerson,17,10,54.655644947785376,False,False,False,False,False,False
7,Emmanuel,14,13,50.45445018032912,False,False,False,False,False,False
7,Emory,15,10,56.83439430115606,False,False,False,False,False,False
7,Endicott,22,5,58.58634094834461,True,False,True,False,False,False
7,Eureka,18,10,50.279787184435946,True,False,True,False,False,False
7,Farmingdale,18,9,51.327849530947596,False,False,False,False,False,False
7,FDU Madison,7,18,44.63326023186091,False,False,False,False,False,False
7,Ferrum,14,13,50.90604370169673,False,False,False,False,False,False
7,Fitchburg St.,3,24,40.88122107858991,False,False,False,False,False,False
7,Fontbonne,3,18,39.354457659806535,False,False,False,False,False,False
7,Framingham St.,15,10,52.94182246814641,False,False,False,False,False,False
7,Franciscan OH,2,22,37.157997156113744,False,False,False,False,False,False
7,Frank & Marsh,15,10,54.54634437023934,False,False,False,False,False,False
7,Franklin,15,11,52.163791274795614,False,False,False,False,False,False
7,Gallaudet,17,11,50.1409907177986,False,False,False,False,False,False
7,Geneseo St.,22,6,57.063452317717065,True,False,True,False,False,False
7,Geneva,11,14,46.77094201772511,False,False,False,False,False,False
7,George Fox,16,7,55.36152372589567,False,False,False,False,False,False
7,Gettysburg,25,2,64.51199933368122,True,False,True,False,True,True
7,Gordon,9,16,47.49120108750571,False,False,False,False,False,False
7,Goucher,14,12,48.48148166904679,False,False,False,False,False,False
7,Greensboro,3,19,39.97247179226787,False,False,False,False,False,False
7,Greenville,11,14,47.60913067243288,False,False,False,False,False,False
7,Grinnell,18,8,52.318895106647986,False,False,False,False,False,False
7,Grove City,16,11,50.07319549770768,False,False,False,False,False,False
7,Guilford,15,11,52.782141358845664,False,False,False,False,False,False
7,Gustavus Adolphus,26,1,65.5378022081872,True,False,True,True,True,True
7,Gwynedd-Mercy,5,19,44.26362426870626,False,False,False,False,False,False
7,Hamilton,15,9,56.29238070817109,False,False,False,False,False,False
7,Hamline,19,8,55.54490624052144,False,False,False,False,False,False
7,Hanover,21,7,56.87818522147617,True,False,True,False,False,False
7,Hardin-Simmons,18,6,56.59185913312889,False,False,False,False,False,False
7,Hartford,10,16,48.767726772717076,False,False,False,False,False,False
7,Hartwick,6,18,43.86713088461876,False,False,False,False,False,False
7,Haverford,10,14,49.155074650898854,False,False,False,False,False,False
7,Heidelberg,3,22,41.72511239157461,False,False,False,False,False,False
